baker,series,episode,technical,result,signature_bake,show_stopper,baker_age,baker_occupation,hometown
Annetha,1,1,2,IN,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",30,Midwife,Essex
David,1,1,3,IN,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",31,Entrepreneur,Milton Keynes
Edd,1,1,1,IN,Caramel Cinnamon and Banana Cake,N/A,24,Debt collector for Yorkshire Bank,Bradford
Jasminder,1,1,NA,IN,Fresh Mango and Passion Fruit Hummingbird Cake,N/A,45,Assistant Credit Control Manager,Birmingham
Jonathan,1,1,9,IN,Carrot Cake with Lime and Cream Cheese Icing,Three Tiered White and Dark Chocolate with Almond and Cherry,25,Research Analyst,St Albans
Louise,1,1,NA,IN,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",44,Police Officer,Manchester
Miranda,1,1,8,IN,"Triple Layered Brownie Meringue Cake
with Raspberry Cream",Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
Ruth,1,1,NA,IN,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles,31,Retail manager/Housewife,"Poynton, Cheshire"
Lea,1,1,10,OUT,Cranberry and Pistachio Cakewith Orange Flower Water Icing,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit,51,Retired,"Midlothian, Scotland"
Mark,1,1,NA,OUT,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,48,Bus Driver,South Wales
David,1,2,8,IN,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles,31,Entrepreneur,Milton Keynes
Edd,1,2,6,IN,Oatmeal Raisin Cookie,Pink Macarons,24,Debt collector for Yorkshire Bank,Bradford
Jasminder,1,2,2,IN,Millionaires' Shortbread,Meringues with Chocolate and Space DustCoffee flavoured Eclairs,45,Assistant Credit Control Manager,Birmingham
Jonathan,1,2,1,IN,Honey and Candied Ginger Cookies,Meringues with Whiskey Cream,25,Research Analyst,St Albans
Miranda,1,2,3,IN,Fresh Vanilla Biscuits with Royal Icing,Pistachio Macarons,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
Ruth,1,2,5,IN,Peanut Shortbread withSalted Peanut Caramel,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs,31,Retail manager/Housewife,"Poynton, Cheshire"
Annetha,1,2,7,OUT,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs,30,Midwife,Essex
Louise,1,2,4,OUT,Stained Glass Window Shortbread,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons",44,Police Officer,Manchester
Lea,1,2,NA,NA,NA,NA,51,Retired,"Midlothian, Scotland"
Mark,1,2,NA,NA,NA,NA,48,Bus Driver,South Wales
David,1,3,4,IN,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun",31,Entrepreneur,Milton Keynes
Edd,1,3,1,IN,Olive Bread,Tomato and Mozzarella,24,Debt collector for Yorkshire Bank,Bradford
Jasminder,1,3,5,IN,Focaccia,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots",45,Assistant Credit Control Manager,Birmingham
Miranda,1,3,3,IN,Walnut and Apricot Bread,"Lemon Iced Buns
Chocolate and Orange Buns",37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
Ruth,1,3,2,IN,Maple and Pecan Bread,"Chocolate and Orange Panettone
Cranberry Bagels",31,Retail manager/Housewife,"Poynton, Cheshire"
Jonathan,1,3,6,OUT,"Anchovy, Sweet Paprika and Oregano Bread","Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun",25,Research Analyst,St Albans
Annetha,1,3,NA,NA,NA,NA,30,Midwife,Essex
Lea,1,3,NA,NA,NA,NA,51,Retired,"Midlothian, Scotland"
Louise,1,3,NA,NA,NA,NA,44,Police Officer,Manchester
Mark,1,3,NA,NA,NA,NA,48,Bus Driver,South Wales
Edd,1,4,3,IN,Apple and Plum Pudding,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer",24,Debt collector for Yorkshire Bank,Bradford
Jasminder,1,4,2,IN,Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble",45,Assistant Credit Control Manager,Birmingham
Miranda,1,4,1,IN,Sticky Toffee Pudding,"Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble",37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
Ruth,1,4,4,IN,Peach and Blueberry Boy Bait,"Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings",31,Retail manager/Housewife,"Poynton, Cheshire"
David,1,4,5,OUT,Pear and Walnut Pudding,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",31,Entrepreneur,Milton Keynes
Annetha,1,4,NA,NA,NA,NA,30,Midwife,Essex
Jonathan,1,4,NA,NA,NA,NA,25,Research Analyst,St Albans
Lea,1,4,NA,NA,NA,NA,51,Retired,"Midlothian, Scotland"
Louise,1,4,NA,NA,NA,NA,44,Police Officer,Manchester
Mark,1,4,NA,NA,NA,NA,48,Bus Driver,South Wales
Edd,1,5,2,IN,"Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés",24,Debt collector for Yorkshire Bank,Bradford
Miranda,1,5,1,IN,"Summery Salmon, Cod and Prawn Fish Pie","Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganche  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés",37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
Ruth,1,5,3,IN,Minced Beef Pie,"Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés",31,Retail manager/Housewife,"Poynton, Cheshire"
Jasminder,1,5,4,OUT,Chicken and Mushroom Pie,"Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés",45,Assistant Credit Control Manager,Birmingham
Annetha,1,5,NA,NA,NA,NA,30,Midwife,Essex
David,1,5,NA,NA,NA,NA,31,Entrepreneur,Milton Keynes
Jonathan,1,5,NA,NA,NA,NA,25,Research Analyst,St Albans
Lea,1,5,NA,NA,NA,NA,51,Retired,"Midlothian, Scotland"
Louise,1,5,NA,NA,NA,NA,44,Police Officer,Manchester
Mark,1,5,NA,NA,NA,NA,48,Bus Driver,South Wales
Miranda,1,6,NA,Runner-up,Lemon Cupcake,Eliminated after signature,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
Ruth,1,6,NA,Runner-up,"Mint, Ginger and Blackberry Cake",,31,Retail manager/Housewife,"Poynton, Cheshire"
Edd,1,6,NA,WINNER,Cinnamon and Banana Cake,,24,Debt collector for Yorkshire Bank,Bradford
Annetha,1,6,NA,NA,NA,NA,30,Midwife,Essex
David,1,6,NA,NA,NA,NA,31,Entrepreneur,Milton Keynes
Jasminder,1,6,NA,NA,NA,NA,45,Assistant Credit Control Manager,Birmingham
Jonathan,1,6,NA,NA,NA,NA,25,Research Analyst,St Albans
Lea,1,6,NA,NA,NA,NA,51,Retired,"Midlothian, Scotland"
Louise,1,6,NA,NA,NA,NA,44,Police Officer,Manchester
Mark,1,6,NA,NA,NA,NA,48,Bus Driver,South Wales
Ben,2,1,2,IN,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,Vanilla Sponge with White Chocolate and Raspberry Buttercream,31,Graphic Designer,Northampton
Ian,2,1,10,IN,Apple and Cinnamon Cupcakes,UNKNOWN,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
Janet,2,1,8,IN,Raspberry and Cream Cupcakes,Chocolate Marble Cakewith Dark and White Chocolate Truffles,63,Teacher of Modern Languages,"Formby, Liverpool"
Jason,2,1,6,IN,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,UNKNOWN,19,Civil Engineering Student,Croydon
Joanne,2,1,11,IN,Chocolate Orange CupcakesOrange and Cardamom Cupcakes,Chocolate and Strawberry Cake,41,Housewife,"Ongar, Essex"
Mary-Anne,2,1,4,IN,Banoffee Cupcakes,Chocolate and Raspberry Opera cake,45,Housewife,"Kidderminster, Worcestershire"
Robert,2,1,3,IN,Blackberry and Vanilla Cupcakeswith Liquorice Frosting,Genoise Layered Mousse Cakewith Chocolate Ganache,25,Photographer,London
Simon,2,1,9,IN,Guinness and Chocolate Cupcakes,Two-Tiered Chocolate Courgette Cake,31,Rugby Coach,Norfolk
Urvashi,2,1,7,IN,Cherry Blossom CupcakesJapanese Lime Cupcakes,UNKNOWN,40,Head of Marketing,"Enfield, London"
Yasmin,2,1,5,IN,Cardamom and Pomegranate Cupcakes,UNKNOWN,43,Childminder,"West Kirby, The Wirral"
Keith,2,1,12,OUT,Earl Grey Cupcakes,Chocolate and Sour Cream Cake,31,House husband,"Arlesey, Bedfordshire"
Holly,2,1,1,STAR BAKER,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,UNKNOWN,31,Advertising executive,Leicester
Ben,2,2,1,IN,"Chorizo, Pepper and Gruyere Quiche",Lemon Meringue Tarts,31,Graphic Designer,Northampton
Holly,2,2,4,IN,Pesto Quiche,Milk Chocolate and Pistachio TartsTrifle Tarts,31,Advertising executive,Leicester
Ian,2,2,2,IN,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",UNKNOWN,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
Janet,2,2,8,IN,Quiche Printanière,Red Fruit TartsChocolate and Cherry Tarts,63,Teacher of Modern Languages,"Formby, Liverpool"
Joanne,2,2,10,IN,"Caramelised Onion, Gruyere and Thyme Quiche",Raspberry and Mascarpone Tarts with Lemon and Almond PastryHoney and Almond Tarts with Sweetcrust,41,Housewife,"Ongar, Essex"
Mary-Anne,2,2,9,IN,"Roasted Cauliflower, Cheese andCaramelised Onion Quiche",Butterscotch Brulée Tarts in Pecan PastryApple Rose Tarts,45,Housewife,"Kidderminster, Worcestershire"
Robert,2,2,5,IN,Smoked Bacon and Kale Quiche,"Chocolate, Fennel and Ginger TartAlmond, Creme Patissiere and Poached Pear Tart",25,Photographer,London
Urvashi,2,2,7,IN,"Crab, Coriander and Coconut Quiche",Strawberry and Basil TartsElderflower and Honeycomb Tarts,40,Head of Marketing,"Enfield, London"
Yasmin,2,2,6,IN,Smoked Haddock and Watercress Quiche,Chocolate and Orange with Cinnamon-Orange Pastry TartsBlueberry and Hazelnut with Hazelnut Pastry Tarts,43,Childminder,"West Kirby, The Wirral"
Simon,2,2,11,OUT,Smoked Haddock and Watercress Quiche,"Passion Fruit and Ricotta TartsSalted Chocolate, Stem Ginger and Mascarpone Cream Tarts",31,Rugby Coach,Norfolk
Jason,2,2,3,STAR BAKER,Salmon and Pak Choi Quiche,Mint Chocolate Tarts Blueberry Bakewell Tarts,19,Civil Engineering Student,Croydon
Keith,2,2,NA,NA,NA,NA,31,House husband,"Arlesey, Bedfordshire"
Ben,2,3,3,IN,"Walnut, Raisin and Rosemary Loaf",UNKNOWN,31,Graphic Designer,Northampton
Holly,2,3,6,IN,Picnic Loaf,Stilton and Walnut Rolls,31,Advertising executive,Leicester
Janet,2,3,8,IN,Zupfe Loaf with Gruyère Cheese,Apple and Walnut Granary Rolls Red Onion Cottage Rolls,63,Teacher of Modern Languages,"Formby, Liverpool"
Jason,2,3,7,IN,Cheese and Onion Tear and Share Loaf,UNKNOWN,19,Civil Engineering Student,Croydon
Joanne,2,3,1,IN,"Stromboli flavored with Mozzarella, Ham, and Picante Pepper",Unknown,41,Housewife,"Ongar, Essex"
Mary-Anne,2,3,5,IN,Ploughman's Loaf,Herb and Walnut BreadsChocolate and Chilli Buns,45,Housewife,"Kidderminster, Worcestershire"
Robert,2,3,4,IN,Rye and Coriander Seed Loaf,Blueberry Brioche RollsLemon and Poppy Seed Rolls,25,Photographer,London
Ian,2,3,10,OUT,"Courgette, Caerphilly Cheese and Thyme Loaf",Walnut and Raisin RollsCracked Wheat Logs,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
Urvashi,2,3,9,OUT,Salt and Peppercorn Loaf,Chilli and Halloumi RollsLemon and Coriander Mini Loaves,40,Head of Marketing,"Enfield, London"
Yasmin,2,3,2,STAR BAKER,Egyptian Dukkah Loaf with Mixed Spices,"Pesto Bread
Sweet Coconut Rolls",43,Childminder,"West Kirby, The Wirral"
Keith,2,3,NA,NA,NA,NA,31,House husband,"Arlesey, Bedfordshire"
Simon,2,3,NA,NA,NA,NA,31,Rugby Coach,Norfolk
Janet,2,4,4,IN,Christmas Marzipan Biscuits,"Raspberry Macarons
Blackcurrant Macarons
Almond Macarons",63,Teacher of Modern Languages,"Formby, Liverpool"
Joanne,2,4,8,IN,Lavender Biscuits,Blueberry MacaronsCoconut MacaronsStrawberry Macarons,41,Housewife,"Ongar, Essex"
Mary-Anne,2,4,2,IN,Melting Moments,Blackcurrant and Mint MacaronsGooseberry and Elderflower MacaronsHazelnut Macarons,45,Housewife,"Kidderminster, Worcestershire"
Robert,2,4,7,IN,Chocolate and Ginger Oat Biscuits,Strawberry and Lime MacaronsLemon MacaronsChocolate and Cardamom Macarons,25,Photographer,London
Yasmin,2,4,6,IN,Chocolate Chip and Pistachio Biscotti,Chocolate and Lime MacaronsCoffee and Walnut MacaronsPineapple and Coconut Macarons,43,Childminder,"West Kirby, The Wirral"
Ben,2,4,5,OUT,Stem Ginger Nuts,Chocolate and Almond MacaronsPine Nut MacaronsPistachio Macarons,31,Graphic Designer,Northampton
Holly,2,4,3,STAR BAKER,Strawberry and Custard Melts,"'Chocolate bars of my youth'
(Caramel Macarons, Mint Chocolate Macarons and Chocolate Orange Macarons)",31,Advertising executive,Leicester
Jason,2,4,1,STAR BAKER,Lebkuchen,"Mocktail Macarons
(Mojito, Cranberry Cooler, and Pina Colada)",19,Civil Engineering Student,Croydon
Ian,2,4,NA,NA,NA,NA,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
Keith,2,4,NA,NA,NA,NA,31,House husband,"Arlesey, Bedfordshire"
Simon,2,4,NA,NA,NA,NA,31,Rugby Coach,Norfolk
Urvashi,2,4,NA,NA,NA,NA,40,Head of Marketing,"Enfield, London"
Holly,2,5,4,IN,"Stilton, Potato and Caramelised Onion Pie",Lime Meringue Pie,31,Advertising executive,Leicester
Joanne,2,5,6,IN,Salmon and Asparagus Pie,Apple and Raspberry Meringue Pie,41,Housewife,"Ongar, Essex"
Mary-Anne,2,5,2,IN,Chicken and Bacon Pie,Midnight Meringue,45,Housewife,"Kidderminster, Worcestershire"
Yasmin,2,5,5,IN,Family Fish Pie,Peach and Raspberry Meringue Pie,43,Childminder,"West Kirby, The Wirral"
Jason,2,5,7,OUT,Brown Down Chicken Pie,Plum Meringue Pie,19,Civil Engineering Student,Croydon
Robert,2,5,3,OUT,Chicken and Mushroom Pie,Rhubarb and Custard Meringue Pie,25,Photographer,London
Janet,2,5,1,STAR BAKER,Chicken and Chestnut Pie,Rhubarb Meringue Pie,63,Teacher of Modern Languages,"Formby, Liverpool"
Ben,2,5,NA,NA,NA,NA,31,Graphic Designer,Northampton
Ian,2,5,NA,NA,NA,NA,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
Keith,2,5,NA,NA,NA,NA,31,House husband,"Arlesey, Bedfordshire"
Simon,2,5,NA,NA,NA,NA,31,Rugby Coach,Norfolk
Urvashi,2,5,NA,NA,NA,NA,40,Head of Marketing,"Enfield, London"
Holly,2,6,3,IN,Father Christmas' Baked Cheesecake,Hansel and Gretel's Croquembouche,31,Advertising executive,Leicester
Janet,2,6,5,IN,Rhubarb and Ginger Baked Cheesecake,Orange and Nougatine Croquembouche,63,Teacher of Modern Languages,"Formby, Liverpool"
Mary-Anne,2,6,4,IN,Tutti Fruitti Curd Baked Cheesecake,Orange and Praline Croquembouche with Cardamom Caramel,45,Housewife,"Kidderminster, Worcestershire"
Yasmin,2,6,2,OUT,Baked Amaretto Cheesecake,Rose Croquembouche,43,Childminder,"West Kirby, The Wirral"
Joanne,2,6,1,STAR BAKER,Rum and Raisin Baked Cheesecake,Limoncello and White Chocolate Croquembouche,41,Housewife,"Ongar, Essex"
Ben,2,6,NA,NA,NA,NA,31,Graphic Designer,Northampton
Ian,2,6,NA,NA,NA,NA,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
Jason,2,6,NA,NA,NA,NA,19,Civil Engineering Student,Croydon
Keith,2,6,NA,NA,NA,NA,31,House husband,"Arlesey, Bedfordshire"
Robert,2,6,NA,NA,NA,NA,25,Photographer,London
Simon,2,6,NA,NA,NA,NA,31,Rugby Coach,Norfolk
Urvashi,2,6,NA,NA,NA,NA,40,Head of Marketing,"Enfield, London"
Holly,2,7,1,IN,"White Chocolate, Hazelnut and Raspberry Genoise Mousse Cake","Apricot, Macadamia and White Chocolate PinwheelsAlmond CroissantsApple, Raisin and Cinnamon Plaits",31,Advertising executive,Leicester
Joanne,2,7,3,IN,Raspberry & Strawberry Mousse Cake,Pain Aux RaisinChocolate TwistsBanana and Raisin Pastries,41,Housewife,"Ongar, Essex"
Mary-Anne,2,7,2,IN,Chocolate and Orange Mousse Cake,Raspberry Rose DanishesPraline SpiralsAlsatian Plaited Danishes,45,Housewife,"Kidderminster, Worcestershire"
Janet,2,7,4,OUT,Chocolate Amaretto Mousse Cake,Pain Aux RaisinPlain CroissantPain Au Chocolat,63,Teacher of Modern Languages,"Formby, Liverpool"
Ben,2,7,NA,NA,NA,NA,31,Graphic Designer,Northampton
Ian,2,7,NA,NA,NA,NA,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
Jason,2,7,NA,NA,NA,NA,19,Civil Engineering Student,Croydon
Keith,2,7,NA,NA,NA,NA,31,House husband,"Arlesey, Bedfordshire"
Robert,2,7,NA,NA,NA,NA,25,Photographer,London
Simon,2,7,NA,NA,NA,NA,31,Rugby Coach,Norfolk
Urvashi,2,7,NA,NA,NA,NA,40,Head of Marketing,"Enfield, London"
Yasmin,2,7,NA,NA,NA,NA,43,Childminder,"West Kirby, The Wirral"
Holly,2,8,2,Runner-up,Banoffee Inspired Mille Feuille,Strawberry and Cream Meringue NestGooseberry and Elderflower 'Bakewell' TartsNeapolitan Ice-Cream Sandwich,31,Advertising executive,Leicester
Mary-Anne,2,8,3,Runner-up,Lemon and Ginger Mille Feuille,Fruit Tarts with Elderflower CustardStrawberry and Rhubarb CheesecakesBlack Fruit Meringue with Everlasting Syllabub,45,Housewife,"Kidderminster, Worcestershire"
Joanne,2,8,1,WINNER,Raspberry and Blueberry Mille Feuille,"Mini Victoria SandwichesRaspberry, White Chocolate and Pistachio Mini MeringuesMini Banoffee Pie with Banana Mousse",41,Housewife,"Ongar, Essex"
Ben,2,8,NA,NA,NA,NA,31,Graphic Designer,Northampton
Ian,2,8,NA,NA,NA,NA,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
Janet,2,8,NA,NA,NA,NA,63,Teacher of Modern Languages,"Formby, Liverpool"
Jason,2,8,NA,NA,NA,NA,19,Civil Engineering Student,Croydon
Keith,2,8,NA,NA,NA,NA,31,House husband,"Arlesey, Bedfordshire"
Robert,2,8,NA,NA,NA,NA,25,Photographer,London
Simon,2,8,NA,NA,NA,NA,31,Rugby Coach,Norfolk
Urvashi,2,8,NA,NA,NA,NA,40,Head of Marketing,"Enfield, London"
Yasmin,2,8,NA,NA,NA,NA,43,Childminder,"West Kirby, The Wirral"
Brendan,3,1,10,IN,"Plum, Sour Cherry & Walnut",UNKNOWN,63,Recruitment consultant,Sutton Coldfield
Cathryn,3,1,5,IN,"Apple, Hazelnut and Calvados",Hidden Cupcake Cake,27,Shop assistant,"Pease Pottage, West Sussex"
Danny,3,1,7,IN,"Plum, Ginger & Orange",UNKNOWN,45,Intensive care consultant,Sheffield
James,3,1,2,IN,"Parsnip, Pear, and Pecan","""Simmer Dim"" Sunset Cake",21,Medical student,"Hillswick, Shetland Islands"
John,3,1,11,IN,"Toffee Apple, Orange & Cranberry",Hidden Pink Hearts Cake,22,Law student,Wigan
Manisha,3,1,6,IN,"Vanilla, Peach and Raspberry",White Chocolate Cake with a Red Velvet and White Chocolate Mousse Heart,27,Nursery nurse,Leicester
Peter,3,1,3,IN,"Pear, Muscat & Chocolate",Jubilee Cake,43,Sales manager,"Windsor, Berkshire"
Ryan,3,1,8,IN,Kumquat and Orange Polenta,Hidden Flowerbed Mousse Cake,38,Photographer,Bristol
Sarah-Jane,3,1,1,IN,"Pear, Chocolate and Hazelnut",Hidden Crown Cake,28,Vicar's wife,"Bewbush, West Sussex"
Stuart,3,1,9,IN,Tomato and Ginger,Lemon and Pistachio Union Flag Cake,26,PE teacher,"Lichfield, Staffordshire"
Natasha,3,1,12,OUT,Pineapple & Passion Fruit,Mother's Day Layered Rose Cake,36,Midwife,"Tamworth, Staffordshire"
Victoria,3,1,4,STAR BAKER,Pear and Pecan,Blackbird Pie Cake,50,CEO of the charity Plantlife,Somerset
Brendan,3,2,4,IN,Middle Eastern Taboon BreadIndian Rotis,"Chocolate and Vanilla Bagels
Cumin and Gruyere Bagels",63,Recruitment consultant,Sutton Coldfield
Cathryn,3,2,8,IN,"Spiced Mango NaanLime, Coriander and Chilli Tortillas","Cranberry and Orange Bagels
Chipotle, Chili, and Smoked Cheddar Bagels",27,Shop assistant,"Pease Pottage, West Sussex"
Danny,3,2,3,IN,Lime Coriander and Coconut TortillasZaatar Naan with Dukkah,UNKNOWN,45,Intensive care consultant,Sheffield
James,3,2,2,IN,"Tomato, Garlic, and Parmesan FlatbreadsTattie Scones","Orange, Mint and Chocolate Bagels
'Millers' Sourdough Bagels",21,Medical student,"Hillswick, Shetland Islands"
Manisha,3,2,6,IN,Indian FlatbreadsItalian Flatbreads,UNKNOWN,27,Nursery nurse,Leicester
Ryan,3,2,5,IN,Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan,"Cinnamon and Date Bagels
Tarragon and Rosemary Bagels",38,Photographer,Bristol
Sarah-Jane,3,2,10,IN,Toasted Coconut and Lime RotisOatcakes,UNKNOWN,28,Vicar's wife,"Bewbush, West Sussex"
Stuart,3,2,9,IN,Bombay BreadChorizo and Spring Onion Naan,"Cinnamon and Cranberry Bagels
Tomato and Thyme Bagels",26,PE teacher,"Lichfield, Staffordshire"
Victoria,3,2,7,IN,Coriander and Lemon NaanGarlic and Parsnip Chapatis,"Saffron and Golden Raisin Bagels
Porcini Bagels",50,CEO of the charity Plantlife,Somerset
Peter,3,2,11,OUT,Fennel and Nigella Seed NaanBannock Bread,"Rosemary and Sea Salt Bagels
Apple and Cinnamon Bagels",43,Sales manager,"Windsor, Berkshire"
John,3,2,1,STAR BAKER,"Coriander and Chilli RotisGarlic, Pomegranate and Potato Pitas","Fig, Walnut and Gruyere Bagels
Blueberry and White Chocolate Bagels",22,Law student,Wigan
Natasha,3,2,NA,NA,NA,NA,36,Midwife,"Tamworth, Staffordshire"
Brendan,3,3,9,IN,Apple and Ginger Tarte Tatin,"Blackberry, Nectarine and Dragon Fruit Tart",63,Recruitment consultant,Sutton Coldfield
Cathryn,3,3,3,IN,"Plum, Cherry and Five Spice Tarte Tatin","Raspberry, Pistachio and Lemon Tart",27,Shop assistant,"Pease Pottage, West Sussex"
Danny,3,3,2,IN,Savoury Pear and Roquefort Tarte Tatin,"Pineapple, Coconut and Frangipane Tart",45,Intensive care consultant,Sheffield
John,3,3,6,IN,Apple and Vanilla Tarte Tatin with Walnut Praline,"Berries, Grapes, Pomegranate, and Dragon Fruit Tart",22,Law student,Wigan
Manisha,3,3,10,IN,"Cinnamon, Apple and Pear Tarte Tatin",Rum and Tropical Fruit Tart,27,Nursery nurse,Leicester
Ryan,3,3,5,IN,Spiced Pear Tarte Tatin,UNKNOWN,38,Photographer,Bristol
Sarah-Jane,3,3,8,IN,Caramelised Banana Tarte Tatin,French Apple Tart with Blackberry and Cassis Jam,28,Vicar's wife,"Bewbush, West Sussex"
Stuart,3,3,7,IN,Pear and Almond Tarte Tatin,Raspberry Triple Chocolate Layered Tart,26,PE teacher,"Lichfield, Staffordshire"
Victoria,3,3,4,OUT,"Fig, Walnut and Pink Peppercorn Tarte Tatin",Tropical Fruit Tart with Black Pepper Crust,50,CEO of the charity Plantlife,Somerset
James,3,3,1,STAR BAKER,Apple and Lavender Tarte Tatin,"Rose, Lychee and Raspberry Fruit Tart",21,Medical student,"Hillswick, Shetland Islands"
Natasha,3,3,NA,NA,NA,NA,36,Midwife,"Tamworth, Staffordshire"
Peter,3,3,NA,NA,NA,NA,43,Sales manager,"Windsor, Berkshire"
Cathryn,3,4,3,IN,"White Chocolate, Macadamia and Coffee Torte","Gooseberry, Almond and Honey Meringue",27,Shop assistant,"Pease Pottage, West Sussex"
Danny,3,4,2,IN,"Blackberry, White Chocolate, Lemon and Elderflower Torte","'Monte Bianco' Chestnut, Chocolate and Coffee Dacquoise",45,Intensive care consultant,Sheffield
James,3,4,5,IN,"Hazelnut, Chocolate and Passionfruit Torte","Fig, Chestnut, Cherry and Chocolate Layered Meringue",21,Medical student,"Hillswick, Shetland Islands"
John,3,4,6,IN,'Torte Noir' Black Forest Torte with Boozy Cream,Elderflower and Bramble Berry Pavlova,22,Law student,Wigan
Manisha,3,4,9,IN,"Almond, Chocolate and Cherry Torte",Tiramisu Layered Meringue Dessert,27,Nursery nurse,Leicester
Ryan,3,4,7,IN,Green Tea Opera Torte,"Strawberry, Rose and Pistachio Meringue",38,Photographer,Bristol
Sarah-Jane,3,4,4,IN,Chocolate and Almond Truffle Torte,Hazelnut Tiramisu Layered Meringue,28,Vicar's wife,"Bewbush, West Sussex"
Stuart,3,4,8,OUT,Black Forest Torte,Choca Blocka Mocha Meringue,26,PE teacher,"Lichfield, Staffordshire"
Brendan,3,4,1,STAR BAKER,Clementine and Chestnut Torte,"Pear, Chocolate and Hazelnut Dacquoise",63,Recruitment consultant,Sutton Coldfield
Natasha,3,4,NA,NA,NA,NA,36,Midwife,"Tamworth, Staffordshire"
Peter,3,4,NA,NA,NA,NA,43,Sales manager,"Windsor, Berkshire"
Victoria,3,4,NA,NA,NA,NA,50,CEO of the charity Plantlife,Somerset
Brendan,3,5,3,IN,Salmon Coulibiac in a Scandinavian Pastry,All American Chiffon Pie,63,Recruitment consultant,Sutton Coldfield
Cathryn,3,5,1,IN,Full English Wellington,Chocolate and Peanut Butter Pumpkin Pie,27,Shop assistant,"Pease Pottage, West Sussex"
Danny,3,5,7,IN,"Chickpea, Spinach & Mushroom Wellington",Trick or Treat Pumpkin Pie,45,Intensive care consultant,Sheffield
James,3,5,6,IN,Four Pig Wellington,Sweet Potato Pie,21,Medical student,"Hillswick, Shetland Islands"
John,3,5,2,IN,Venison and Haggis Wellington,Star-Spangled Pecan Pie,22,Law student,Wigan
